Date,Price,Open,High,Low,Trading Volume,% Change
1/12/2017,"22,781.00","23,230.00","23,230.00","22,602.00",6.12K,1.60%
4/12/2017,"22,961.00","24,037.00","24,037.00","22,871.00",4.36K,0.79%
5/12/2017,"22,961.00","23,589.00","23,589.00","22,602.00",5.95K,0.00%
6/12/2017,"22,871.00","22,871.00","22,961.00","22,871.00",10.70K,-0.39%
7/12/2017,"22,512.00","22,423.00","22,512.00","22,423.00",7.10K,-1.57%
8/12/2017,"22,961.00","23,320.00","23,320.00","22,692.00",20.63K,1.99%
11/12/2017,"22,871.00","22,423.00","23,230.00","22,243.00",19.32K,-0.39%
12/12/2017,"22,602.00","22,243.00","23,051.00","22,064.00",5.04K,-1.18%
13/12/2017,"22,423.00","22,154.00","22,423.00","22,064.00",7.01K,-0.79%
14/12/2017,"22,243.00","22,423.00","22,423.00","22,243.00",13.30K,-0.80%
15/12/2017,"22,064.00","22,243.00","22,243.00","22,064.00",49.99K,-0.80%
18/12/2017,"22,243.00","22,064.00","22,423.00","21,974.00",29.83K,0.81%
19/12/2017,"22,423.00","23,320.00","23,320.00","22,423.00",0.70K,0.81%
20/12/2017,"22,064.00","22,423.00","22,423.00","21,974.00",26.53K,-1.60%
21/12/2017,"22,871.00","22,064.00","23,320.00","22,064.00",18.57K,3.66%
22/12/2017,"22,871.00","22,871.00","22,871.00","22,871.00",0.28K,0.00%
25/12/2017,"22,781.00","22,423.00","22,781.00","22,423.00",3.34K,-0.39%
26/12/2017,"22,871.00","23,140.00","23,140.00","22,423.00",3.90K,0.40%
27/12/2017,"22,423.00","22,871.00","22,871.00","22,423.00",13.84K,-1.96%
28/12/2017,"22,243.00","22,154.00","22,423.00","22,154.00",27.09K,-0.80%
29/12/2017,"22,423.00","22,243.00","23,320.00","22,243.00",24.82K,0.81%
2/1/2018,"22,423.00","23,320.00","23,320.00","22,423.00",4.10K,0.00%
3/1/2018,"22,692.00","23,051.00","23,051.00","22,423.00",8.02K,1.20%
4/1/2018,"22,602.00","22,512.00","23,230.00","21,974.00",24.40K,-0.40%
5/1/2018,"22,243.00","22,423.00","22,961.00","21,974.00",38.95K,-1.59%
8/1/2018,"22,423.00","23,230.00","23,230.00","22,243.00",33.48K,0.81%
9/1/2018,"22,423.00","22,423.00","22,512.00","21,705.00",7.35K,0.00%
10/1/2018,"22,333.00","22,423.00","22,423.00","22,243.00",31.12K,-0.40%
11/1/2018,"22,333.00","22,333.00","22,333.00","22,154.00",18.54K,0.00%
12/1/2018,"22,154.00","22,154.00","22,243.00","22,064.00",20.20K,-0.80%
